Exercise_1,Exercise_2,Exercise_3,Exercise_4,Exercise_5,Exercise_6,Exercise_7,Exercise_8,Exercise_9,Exercise_10,Exercise_11,Exercise_12,Exercise_13,Exercise_14,Exercise_15,InjuryScore
3,1,4,9,7,7,7,10,8,9,8,6,12,12,12,0.1265694145594971
16,15,16,18,18,17,18,18,19,18,20,18,21,22,21,0.7778429784390345
4,4,1,10,6,7,10,6,7,8,10,9,12,12,13,0.13341702739904326
1,1,1,8,8,9,7,8,9,6,10,8,13,11,11,0.4523893513373831
14,15,16,17,20,20,18,17,17,19,18,20,22,21,23,0.7009717798033186
16,14,16,19,17,18,17,19,17,18,18,20,21,22,23,0.5507569380129117
3,2,3,7,10,9,5,8,7,8,6,6,13,11,11,0.0743387710547384
16,16,14,20,18,20,19,18,20,18,17,20,21,22,21,0.8133728382529937
1,3,1,6,6,5,7,8,5,7,7,7,12,11,11,0.2682025924241578
14,15,15,18,18,19,17,20,18,18,19,19,22,22,23,0.7141616150757814
14,15,14,19,17,19,17,20,20,19,18,17,22,22,22,0.5564306741783929
2,3,4,8,8,9,8,6,9,7,7,6,13,11,11,0.3437965926972425
16,16,16,19,20,18,20,17,20,17,20,18,23,22,23,0.7650450592505372
15,15,15,18,20,20,18,18,17,20,17,17,23,21,22,0.6811087081140305
14,15,16,17,17,18,17,18,20,20,18,20,23,21,21,0.9671634905507533
1,3,1,9,8,9,7,6,6,9,9,6,13,13,13,0.3679839438918475
14,16,16,19,20,20,19,18,17,17,17,17,23,23,23,0.9974150370140715
16,15,16,18,17,17,20,18,20,20,19,18,22,22,22,0.6194921796633954
15,16,16,19,17,17,20,19,20,19,20,19,21,22,21,0.6493691878148785
16,16,15,18,19,20,19,20,18,20,19,19,22,21,23,0.5237811821012552
4,2,1,7,9,8,9,7,7,7,10,8,11,12,11,0.028437096405668938
15,16,15,20,20,19,20,18,19,20,19,19,23,22,23,0.8020040416066194
3,3,4,10,9,10,7,8,6,6,5,10,13,12,13,0.21247002983041174
16,14,14,19,17,20,18,18,19,17,17,19,21,23,23,0.62784450897514
2,4,1,6,8,7,9,5,9,10,10,9,11,12,12,0.30661326389571786
3,4,1,9,7,10,9,8,7,9,5,7,12,13,12,0.32092941718814605
14,16,15,17,17,19,17,18,17,20,20,19,21,23,21,0.8161708210280265
16,16,15,20,20,18,17,20,17,19,18,20,21,21,21,0.6139485764632285
14,15,15,17,18,19,17,20,19,17,20,20,21,22,22,0.9859856160181197
16,16,14,19,17,20,20,19,18,20,17,17,21,22,22,0.8277825247803517
16,14,14,20,18,17,20,17,19,17,19,18,21,23,21,0.7069850008744532
14,15,15,17,20,17,19,17,19,17,17,20,21,23,21,0.7631832287420512
14,14,15,18,18,17,19,17,19,19,20,19,22,22,21,0.8066557167500666
16,14,15,17,18,19,17,20,18,18,19,17,23,22,22,0.5848507209159628
15,16,15,20,20,18,20,18,20,17,20,18,21,21,21,0.9014648076609931
14,15,14,19,18,20,18,17,18,18,18,19,23,21,21,0.6936632245209103
4,4,1,8,5,9,5,5,6,5,6,9,11,11,13,0.3270361694901741
16,15,15,18,17,20,17,20,20,17,18,18,21,22,21,0.8961180014615743
1,2,4,7,8,7,7,6,6,10,5,5,11,12,11,0.10961635622309196
2,1,2,8,8,9,6,6,6,9,9,8,12,11,11,0.3503401007577477
16,14,15,17,20,17,20,20,18,17,20,17,22,21,23,0.8005044337060019
3,1,1,6,8,9,9,8,7,9,5,7,12,13,11,0.16631585787650371
3,2,2,6,8,5,8,10,9,8,6,5,12,12,11,0.068474720552274
2,1,1,7,8,9,8,8,7,10,9,6,13,13,12,0.48964432081349774
4,2,2,6,8,7,6,9,7,8,7,10,13,12,12,0.14038460723344415
14,15,15,18,20,19,17,20,19,17,17,18,22,22,22,0.8999170605643734
15,14,14,20,18,17,19,18,19,20,18,17,22,23,21,0.7702119921807175
2,2,3,8,8,6,10,5,10,6,6,10,11,11,11,0.34167373889862795
15,15,16,19,19,20,19,17,19,17,18,18,22,21,23,0.5138233983109728
1,4,1,7,8,9,6,7,8,8,9,9,13,13,13,0.03745891455703754
4,4,1,6,10,9,10,6,8,8,9,8,12,12,11,0.19426614814928256
2,1,2,7,7,8,6,7,7,6,8,9,12,11,13,0.09102965376301686
14,16,14,17,18,20,20,20,19,20,17,17,23,22,23,0.9614306367393884
14,14,15,20,18,19,20,20,20,17,18,19,22,23,21,0.9113224835831074
4,2,1,10,10,9,10,6,10,10,6,8,11,13,13,0.0026033322400571546
15,16,14,17,20,18,19,19,18,17,20,18,21,21,21,0.9996799397661275
2,3,2,6,10,5,5,8,10,10,10,9,12,11,11,0.28690896293563084
16,16,14,18,19,18,20,20,19,20,18,18,23,23,21,0.9729223083494216
3,3,3,10,9,5,10,9,8,9,7,6,13,13,11,0.013797074801451426
15,15,16,17,20,17,17,18,19,19,17,18,23,23,23,0.6899635932364496
15,15,15,17,20,20,17,20,20,18,18,18,23,21,21,0.8226463127574527
2,1,2,5,9,9,7,5,6,5,7,6,11,12,13,0.2782096937790439
3,2,1,8,6,9,7,6,7,9,5,7,11,12,11,0.18513755103400686
3,3,1,7,8,8,10,9,7,6,7,9,13,13,13,0.4157954206341574
1,4,3,7,6,9,10,7,9,9,7,6,13,12,13,0.2729323422677261
14,14,16,18,17,18,18,20,20,17,20,18,22,23,21,0.8881206926176147
14,14,15,19,20,17,17,18,19,17,18,20,22,21,22,0.7631538943530121
15,15,14,20,17,18,19,17,20,19,19,17,23,21,22,0.8599749846998682
14,15,15,18,20,18,20,18,20,17,20,19,22,21,22,0.797291444341725
15,15,15,19,17,18,18,18,17,19,19,20,23,21,23,0.9130977848933534
16,15,16,18,20,20,17,19,18,18,17,18,21,23,21,0.7835073530898585
16,14,16,19,20,20,19,20,17,20,17,20,22,22,22,0.7717338311799882
14,14,14,19,18,18,19,19,17,17,18,20,21,23,22,0.551585354763425
3,1,1,5,5,5,8,10,5,5,6,5,12,12,11,0.22374370048345038
1,2,4,5,6,9,7,9,5,9,8,5,12,12,12,0.2614638425736262
2,3,2,9,6,5,9,5,9,10,7,5,13,13,13,0.4135550244403783
4,2,1,5,5,9,5,8,9,8,6,9,11,13,11,0.2476360273122551
15,16,16,19,18,20,20,17,20,18,18,20,22,22,22,0.5633268993500163
16,16,16,17,18,18,20,20,20,19,19,17,23,21,21,0.9261733490059944
1,2,4,6,5,6,8,10,6,6,7,7,12,11,11,0.13775133550237595
16,14,16,19,19,17,18,20,18,19,20,18,22,22,22,0.7437456393159355
15,16,15,20,19,20,19,17,17,20,19,17,23,21,21,0.8602593906331079
4,4,2,8,10,6,8,7,9,5,6,10,13,12,11,0.23622837621452686
14,16,16,17,18,20,17,19,18,20,20,17,22,23,22,0.8853610002399113
14,15,14,18,17,20,19,20,17,20,18,20,21,23,22,0.9685674017052256
15,15,15,20,19,18,19,17,18,19,20,19,23,22,23,0.9779214122975797
15,14,14,17,19,17,20,18,17,17,20,20,22,21,23,0.7668464778214436
15,14,14,17,17,18,18,19,17,20,17,20,21,22,21,0.6673295450841991
4,1,4,5,9,8,9,8,9,7,8,7,11,11,11,0.11599829898092628
3,4,1,5,9,10,7,7,5,5,9,7,12,12,13,0.45009931711195206
14,15,16,20,18,17,19,17,19,20,19,18,21,21,21,0.5577363553505793
15,16,16,17,19,17,18,18,18,18,17,17,22,22,23,0.8033994626152071
15,15,16,18,19,20,20,18,17,19,20,20,22,23,21,0.9428924478074988
14,14,14,17,17,17,17,19,19,17,17,20,21,22,21,0.7938612175399016
2,2,3,6,7,5,9,9,7,6,5,7,11,13,11,0.18992668670214152
2,2,3,8,8,7,6,8,7,9,7,5,11,11,11,0.27287139828817353
16,15,15,18,17,20,18,20,20,19,17,17,22,21,23,0.8379029672038488
1,4,4,5,6,5,10,6,10,9,6,10,13,11,13,0.053388993893256464
3,2,1,8,9,7,9,8,6,8,8,5,11,12,13,0.28391796354351995
16,15,14,18,17,17,20,18,20,17,18,17,21,21,22,0.7194918688118788
14,14,15,18,20,20,20,17,17,18,20,20,21,22,21,0.6271723457887132
16,14,15,19,19,18,17,17,19,20,18,19,21,23,23,0.9122491419925576
16,16,14,20,17,20,17,18,17,18,18,19,22,22,23,0.8281129169527197
14,14,16,20,20,18,18,20,17,17,19,17,23,22,22,0.6604132756962554
4,1,3,6,9,9,7,9,10,5,6,5,13,11,12,0.2708221816875287
15,15,15,20,19,17,20,17,18,17,19,19,23,23,23,0.8368205342921972
4,1,1,5,6,9,6,8,7,8,9,5,11,13,12,0.33470676758731455
1,4,4,6,6,5,10,7,8,8,7,6,11,11,13,0.2997068363942371
4,4,2,7,7,9,9,7,10,6,9,8,11,12,12,0.40785810349133056
16,15,15,20,17,18,17,17,18,19,17,20,22,23,22,0.7205857322868179
15,15,14,20,19,19,17,18,17,17,18,17,21,22,21,0.8283407452704558
2,2,2,10,8,5,10,6,5,8,9,10,12,11,13,0.12738567583247207
15,16,16,20,18,20,17,19,19,17,18,18,23,21,21,0.5651873753096163
3,1,1,6,5,5,8,6,7,6,7,6,12,13,13,0.38223350290286107
4,4,1,7,9,9,9,8,6,7,7,5,11,12,12,0.3734690231782096
15,16,16,19,18,20,18,18,17,17,17,18,22,23,23,0.9664669051680195
4,1,2,6,5,8,10,6,10,9,8,5,11,12,13,0.35850862401752237
14,15,15,17,19,17,18,20,18,18,20,18,23,22,21,0.6700378982047304
15,14,16,17,19,17,18,18,17,17,20,17,23,23,22,0.5944815301769605
3,3,1,10,9,7,10,9,9,6,9,5,13,13,12,0.3381768861090969
16,14,15,20,20,19,17,19,17,17,20,18,23,21,21,0.9908748480725983
16,16,14,17,19,18,17,18,19,19,17,17,22,21,23,0.9900113549761647
2,2,1,5,6,6,5,6,7,9,5,7,11,13,11,0.42056167728488525
1,2,2,6,10,5,8,7,7,7,8,7,13,12,12,0.07396902835910024
15,14,16,20,17,20,19,17,20,17,20,19,23,22,23,0.541951214222699
4,3,4,6,7,9,8,6,10,8,8,10,13,13,13,0.09002384999548807
4,3,2,10,8,6,10,9,10,6,10,6,13,12,12,0.2888786800092139
15,14,16,17,18,20,19,17,20,18,19,20,22,22,23,0.6480997767993207
15,15,15,18,20,17,18,17,19,18,18,17,22,22,21,0.6788510781644741
15,15,14,18,19,18,20,17,18,18,18,17,23,23,22,0.6212998392952511
15,16,16,19,18,19,19,18,20,20,17,18,23,22,23,0.8165012709854825
14,16,15,19,18,17,17,17,20,18,20,19,23,22,21,0.7945729083653258
1,4,3,10,6,9,8,5,8,8,5,5,13,13,11,0.0651181380029704
14,15,14,19,17,19,17,19,20,17,17,18,21,23,23,0.6710676287202072
16,16,14,20,19,19,18,17,18,18,18,17,21,22,21,0.8686677991083274
1,4,4,5,7,5,7,7,9,5,9,8,12,11,12,0.38291517989715107
4,2,3,8,9,5,5,7,7,8,9,7,11,12,13,0.22318239580254096
14,14,15,17,17,17,17,17,17,17,17,18,23,23,23,0.6169217379597942
14,16,14,19,19,18,19,20,19,20,18,17,22,21,23,0.9366481077828022
15,16,16,20,20,20,17,18,18,20,19,19,23,23,22,0.5433839065688232
14,15,16,20,17,17,17,18,20,18,19,18,22,23,21,0.5659805398869496
2,1,4,7,6,8,9,8,9,6,6,6,12,11,12,0.49605918460194287
14,14,14,19,20,20,17,20,19,17,17,18,22,23,23,0.7019400289744528
15,16,15,17,18,19,20,17,20,18,18,19,22,22,21,0.8113465461390342
3,2,1,10,10,7,8,5,7,8,7,7,13,13,13,0.10917248283826564
14,16,15,19,19,19,17,18,17,17,18,20,23,22,22,0.7236375774362928
14,14,15,17,19,18,17,19,19,17,18,19,21,21,23,0.8233402108228516
2,3,1,9,9,9,9,8,5,8,9,10,11,11,13,0.07912435171218113
2,3,2,5,10,6,8,8,10,7,9,10,12,13,13,0.4257237061696777
15,16,16,19,17,17,17,19,18,20,20,20,22,22,23,0.6495216592308727
16,16,15,20,17,19,18,17,18,18,17,20,23,21,21,0.7275888198827856
3,2,2,6,8,10,8,6,10,8,8,10,12,12,11,0.07290889890627339
2,2,4,6,9,10,10,10,9,9,8,6,12,13,11,0.07245373845496206
4,4,2,10,5,10,7,8,6,8,7,5,13,12,13,0.0786545897347215
2,1,2,9,10,10,6,5,9,9,8,10,13,13,13,0.33014776224134823
15,16,16,17,18,18,17,19,18,17,20,19,22,21,23,0.9567389435126378
15,16,15,18,18,17,19,17,18,20,19,17,21,22,23,0.6507691837927517
14,16,14,17,17,17,19,18,19,20,17,18,22,21,22,0.6612711179814792
16,15,16,19,20,20,19,19,20,19,19,17,23,22,22,0.9690325696069654
3,1,3,10,5,8,10,7,9,5,6,10,13,11,11,0.42335489554762684
16,15,14,20,17,19,19,18,19,20,17,19,22,22,21,0.5844263257409364
14,15,15,20,17,19,19,18,20,18,18,18,22,23,23,0.7624192390528105
4,2,1,9,9,5,6,10,7,9,8,8,13,12,13,0.09708412622801521
15,14,14,20,17,18,18,19,19,18,18,17,21,22,21,0.6667141777109661
2,2,4,6,10,7,10,9,7,6,9,8,13,13,13,0.3636883895484675
2,3,2,8,10,10,8,5,10,5,6,10,12,12,12,0.427074439489442
15,16,15,17,19,20,17,19,18,18,20,17,22,22,23,0.9411452366000709
2,3,1,7,8,5,5,9,9,9,7,10,12,11,13,0.15241865859292658
3,1,3,5,7,10,9,10,8,6,9,10,13,11,12,0.341201935636141
16,15,15,20,20,18,19,17,18,17,20,19,23,21,23,0.7626059137002873
16,15,14,20,20,18,17,19,19,18,19,18,22,22,21,0.91131787025452
14,14,15,18,17,17,17,19,17,20,18,17,22,21,21,0.5059116421760849
14,16,14,17,19,17,18,18,18,20,18,18,23,23,22,0.6321821978392276
14,14,16,19,18,20,17,19,18,17,19,20,21,21,22,0.7024506356880897
15,15,15,18,19,17,20,17,20,19,20,17,22,23,22,0.7271553493297475
14,14,16,18,19,17,18,19,18,20,19,19,22,23,22,0.9678454423572893
14,16,15,19,18,18,18,17,17,17,19,17,21,21,23,0.565196297442989
15,15,14,17,20,20,20,18,18,19,18,20,21,21,23,0.9819922099712026
1,1,2,6,8,9,6,10,6,8,6,8,12,11,13,0.18183615174876
16,16,15,20,19,17,19,17,17,17,18,17,22,22,22,0.8769426517158558
16,14,15,20,20,18,17,17,19,20,17,20,21,21,21,0.7384328673321249
16,16,15,19,18,17,19,18,18,18,17,19,22,21,23,0.5291989198462717
16,16,15,18,19,18,19,18,17,18,18,17,23,22,22,0.705958979621044
2,1,1,8,8,9,8,5,7,9,8,10,12,12,12,0.4325765913894345
2,2,1,6,5,9,8,8,6,5,9,9,13,11,11,0.21011857163842618
4,4,4,10,5,5,8,7,7,6,6,9,13,11,12,0.1112667491295456
4,4,4,8,5,10,5,5,8,10,9,6,13,12,13,0.06711380250995802
2,1,3,5,10,7,8,9,5,9,6,10,11,13,13,0.29416499432191645
15,14,16,20,17,19,20,18,17,17,18,18,23,23,22,0.9753343986185433
2,1,4,5,10,6,5,5,9,9,9,8,12,11,11,0.20718980807126353
1,4,2,6,5,6,10,9,7,5,9,9,11,13,12,0.37275188770139756
3,1,1,5,9,10,7,8,7,6,5,6,11,11,13,0.32123666106759863
14,15,14,18,18,18,18,18,18,19,17,18,21,21,22,0.9615921417708176
1,2,2,9,9,8,8,7,7,7,6,7,12,13,12,0.4218891614445579
16,15,16,20,17,17,19,19,19,19,19,20,22,21,21,0.8564133814194478
14,15,16,17,19,18,20,20,18,19,18,17,21,23,23,0.845560518754758
1,2,2,7,8,6,8,7,6,8,8,10,12,13,13,0.19049053763363843
15,15,16,17,20,19,18,20,19,17,19,18,23,22,23,0.6766550138421698
3,2,2,8,7,9,10,10,7,6,8,6,11,11,12,0.03189645683118225
3,1,3,10,9,7,5,7,6,7,9,8,11,11,12,0.02033028900538003
1,1,4,7,7,7,6,5,6,5,7,9,13,12,11,0.411345934958089
15,14,16,18,19,19,17,18,20,19,17,19,21,23,22,0.6460919186263676
16,15,15,18,17,20,19,20,19,17,17,18,21,21,21,0.5771229232850141
15,16,15,18,20,19,18,19,20,18,17,18,21,22,22,0.8017492268459827
14,15,16,20,19,17,19,19,19,20,17,20,22,21,22,0.9957618692848148
3,4,4,9,7,7,6,5,10,9,8,5,12,13,13,0.04808721842495178
16,15,16,19,18,19,17,18,20,19,18,19,22,21,23,0.665135944841314
1,2,3,8,6,8,10,6,6,10,7,8,11,11,13,0.45043623314428305
4,4,2,10,5,5,7,10,8,10,10,5,12,11,12,0.3066498868761146
3,3,4,9,7,6,10,5,9,8,9,9,11,12,13,0.41654313529005305
2,2,4,7,6,5,9,9,8,8,9,6,11,13,11,0.320357929262981
14,14,15,19,17,18,18,18,17,18,19,17,22,21,23,0.6564222675697234
16,16,16,18,19,19,17,18,18,20,17,18,21,23,21,0.7454721015514145
1,2,2,6,6,6,10,5,8,7,5,10,11,12,11,0.26914981388059367
2,4,2,9,5,8,8,10,7,5,8,8,11,12,13,0.20841734661095157
1,1,4,10,7,9,8,6,8,9,10,5,13,13,12,0.14534726496169315
16,15,14,20,17,20,20,20,19,18,18,17,21,22,23,0.8207097459517749
15,14,14,17,20,19,17,17,17,17,17,19,22,23,23,0.7655630858715871
1,2,4,5,10,6,6,9,7,8,5,9,13,12,12,0.26700741340866596
4,3,1,8,8,7,7,8,6,9,10,9,12,13,12,0.22535821765553932
4,1,2,9,9,9,10,6,5,6,7,10,12,13,11,0.4812131658752503
3,1,3,6,5,7,5,8,10,6,9,8,12,13,11,0.35440360846839136
14,16,15,20,19,19,20,19,19,17,18,19,21,23,21,0.8756410648745342
1,2,1,9,7,6,10,10,8,10,8,10,12,11,11,0.13455832384512423
4,4,3,8,6,6,10,10,10,5,6,7,12,13,12,0.3267458666276224
3,1,4,6,5,6,6,8,10,8,10,6,13,13,13,0.19255968854301397
14,14,14,20,20,18,19,20,20,18,20,19,21,22,21,0.8639178792393017
15,14,16,18,17,18,17,19,17,19,19,19,21,22,22,0.530442889702644
4,3,4,5,8,6,6,5,9,10,10,10,11,11,13,0.06532963416339033
16,15,16,19,19,20,17,19,19,17,18,19,23,23,23,0.5978078623386847
4,4,1,9,7,7,10,7,6,10,9,8,12,13,11,0.04272855120753649
16,15,15,19,17,17,20,17,20,18,19,17,23,21,21,0.9069070799299213
16,15,15,18,17,19,20,20,18,19,18,17,23,21,22,0.9178023591137446
3,4,3,7,9,9,5,6,9,8,7,9,11,11,13,0.39264444558542433
1,4,2,5,8,8,9,5,8,6,6,8,11,11,11,0.1017887804044657
14,15,16,17,17,19,18,17,20,20,19,19,21,21,22,0.7958958492132365
3,2,3,5,10,8,10,9,7,6,6,10,12,11,13,0.09181513893174786
15,15,16,19,19,18,19,17,17,20,19,19,22,21,21,0.8405958509206312
16,15,15,18,18,18,17,19,17,18,19,19,23,23,21,0.5593755386757817
14,16,16,20,17,17,20,19,18,20,17,20,21,23,23,0.6467775680059387
14,16,15,20,20,19,20,18,20,19,18,17,23,23,22,0.9163835170321891
15,16,15,17,18,20,17,20,17,20,18,20,22,22,22,0.6861818984370535
14,14,15,17,18,19,20,20,20,17,18,17,22,22,23,0.8631156448162639
1,2,4,6,9,5,6,7,7,6,7,10,12,13,13,0.06477415479890436
15,15,16,20,17,18,18,17,19,19,19,19,23,21,21,0.5965995834442333
1,2,4,7,6,6,7,9,5,10,7,7,13,13,11,0.4613398392472928
15,15,16,20,18,20,19,19,18,18,17,18,22,21,23,0.7967128557833568
16,15,16,20,17,20,19,19,20,19,18,19,22,23,22,0.7299776048123334
15,15,15,19,18,18,19,19,20,20,18,18,21,22,22,0.8133918380685866
2,4,3,7,10,9,8,9,7,10,10,5,13,12,12,0.37969422529302654
4,1,4,9,10,6,10,6,7,10,9,10,11,13,12,0.13631765120886286
1,3,4,10,7,8,6,7,6,5,5,5,12,12,13,0.2362685073002918
14,16,14,20,20,17,18,17,20,20,20,19,23,23,21,0.7596294712180889
14,16,15,20,20,17,20,19,18,18,19,19,23,21,21,0.9383003977603153
16,16,14,17,20,18,19,20,19,20,17,17,21,22,21,0.5294954180349932
3,3,4,9,6,7,10,10,9,5,10,7,12,12,13,0.24641672337702947
1,1,4,8,7,10,5,10,7,7,9,7,12,13,13,0.061964879571172804
15,15,14,19,19,18,17,17,18,19,18,20,23,23,23,0.806744323063502
15,15,14,20,19,17,18,20,18,17,20,19,23,21,22,0.7453280358636728
1,1,4,6,9,10,10,8,5,9,6,10,11,11,11,0.11188829925293742
2,2,3,6,9,9,10,10,6,10,8,6,13,12,11,0.26517783795030947
15,16,16,18,18,18,19,18,18,20,17,19,21,22,23,0.9889754388874821
15,14,16,17,18,18,17,18,17,20,18,17,22,22,23,0.6296456628067629
14,14,15,19,18,20,17,17,17,19,17,19,21,22,23,0.604815611635488
2,3,1,10,5,10,7,9,9,5,10,5,12,13,12,0.2630738106697402
2,3,3,6,7,10,6,6,8,5,10,8,13,12,12,0.25678324096959937
14,16,15,20,20,18,17,19,18,19,20,20,22,23,22,0.786306516393916
15,15,15,17,20,17,19,17,17,18,20,17,23,22,21,0.6454737535095035
4,4,2,6,10,5,5,7,10,10,10,10,11,11,11,0.4438630969033168
14,16,15,17,20,19,18,20,20,19,20,20,21,23,22,0.60942602661799
4,4,1,9,7,9,6,5,5,8,7,7,12,13,12,0.26944551044778653
4,2,4,5,5,7,9,10,5,7,7,5,12,12,13,0.4876964559023833
2,4,2,9,7,8,5,6,7,10,7,6,12,11,11,0.44304047153993353
3,1,1,6,7,6,6,6,10,5,8,9,13,13,12,0.23569766899684086
16,14,14,18,18,17,18,19,18,17,20,20,22,22,22,0.8662761816875576
14,15,15,17,20,17,20,18,20,20,20,18,23,21,21,0.9695916770371986
2,2,3,7,9,6,6,8,5,7,6,10,12,13,13,0.4454716788851908
16,16,16,19,17,20,17,19,19,18,17,18,21,21,23,0.6117724927495723
2,2,1,7,6,5,7,5,7,10,8,9,11,12,13,0.3848416204591546
15,16,16,20,20,17,20,17,18,17,19,17,22,21,23,0.5536781496392765
2,4,3,10,8,7,7,8,9,10,8,6,11,12,13,0.3971159727001172
1,1,2,10,6,7,6,7,5,5,8,7,12,12,13,0.10757323969235566
4,2,3,6,10,9,5,6,9,10,7,5,12,11,11,0.4589161791908506
2,4,2,8,6,7,7,5,7,6,10,5,12,11,11,0.47947038887611737
15,15,15,20,17,18,17,20,20,18,20,20,21,21,22,0.9551169285665643
1,2,1,10,10,5,7,10,5,9,5,5,11,12,12,0.3879494571894708
15,15,14,18,18,19,19,19,17,17,18,17,21,21,22,0.6825934733261363
3,4,4,6,5,5,10,6,6,10,7,10,12,11,11,0.23221727496196076
4,3,3,8,5,10,6,7,8,5,10,5,12,12,11,0.2566827868547703
16,15,15,17,19,19,20,20,19,17,19,20,22,22,23,0.9806084193661105
14,14,14,20,18,19,20,17,18,17,19,18,21,22,21,0.6448876787894824
14,16,15,20,19,19,19,20,17,20,20,18,23,23,23,0.5327872203419535
1,2,3,6,5,6,5,8,6,10,7,9,12,11,12,0.007537097534495163
15,14,15,19,20,19,20,20,17,19,19,18,21,23,21,0.6131083557423387
1,4,2,9,9,5,9,9,5,8,6,9,13,11,11,0.4529077505993506
4,2,2,5,8,10,8,6,9,6,8,8,13,11,11,0.4356257935042793
14,16,16,18,18,19,19,18,18,17,19,20,21,21,22,0.5780915481694247
16,16,16,18,19,18,20,19,20,20,20,17,23,23,21,0.8093528552793021
2,1,3,5,8,6,7,6,7,9,5,8,11,11,13,0.28764395248147623
4,3,3,9,9,5,9,6,10,10,7,5,11,11,12,0.27394941976232334
4,4,2,9,7,8,6,5,6,9,5,5,11,11,12,0.321486246222486
4,2,1,10,6,7,5,8,7,8,6,10,12,12,11,0.31726835272556153
2,4,4,8,7,8,6,6,8,8,7,8,12,11,12,0.41270676664018957
14,15,15,17,18,18,18,17,19,18,17,20,22,21,21,0.932849166191859
2,4,2,8,7,5,9,10,7,7,7,7,11,12,13,0.46559335767706633
16,14,14,20,19,19,17,17,19,18,20,19,21,23,21,0.9425309659705362
15,14,16,20,20,19,17,20,20,18,18,19,23,23,21,0.696951207307703
4,4,4,7,5,5,6,6,10,8,6,8,12,13,13,0.11737777230676061
15,14,16,18,20,20,17,18,20,17,20,17,21,23,21,0.7529351338073331
1,3,3,8,10,6,8,7,6,8,7,5,12,13,13,0.2182520106877056
2,1,2,7,7,6,9,10,9,6,9,5,12,12,13,0.28286757572176846
2,4,4,8,9,5,9,10,6,8,6,5,13,13,13,0.3440025763493927
1,1,2,8,6,6,5,6,8,7,10,5,11,11,11,0.04919805140988642
16,14,16,17,20,20,18,19,17,18,20,17,21,22,23,0.9958875088747781
15,15,15,19,20,20,18,18,20,20,18,17,21,21,23,0.7229690514348279
1,1,3,5,6,5,6,7,5,9,8,5,12,13,12,0.0730303755352979
16,16,14,20,19,18,18,18,19,20,20,20,22,23,21,0.5970625620447458
3,3,4,8,8,7,10,6,10,8,10,5,11,13,12,0.07457907854931878
1,3,4,10,10,5,10,8,6,6,10,5,11,13,12,0.19920137736913468
1,3,4,8,5,9,7,9,6,5,9,8,12,12,12,0.20154816493436
1,1,4,5,10,6,5,6,7,8,5,7,12,13,12,0.1280932376217746
15,15,16,20,19,18,20,18,17,20,19,19,23,22,21,0.5632727340309961
1,2,3,10,7,8,9,10,5,5,7,8,12,11,13,0.3458484951325763
4,3,3,9,6,9,10,8,9,8,8,7,11,13,12,0.3760116305266604
15,14,16,19,20,17,20,20,19,17,19,18,23,21,23,0.9033143739475676
1,4,3,5,6,7,7,7,6,6,9,8,12,11,12,0.016775058931219777
2,2,1,5,8,7,9,10,7,6,10,8,11,12,12,0.28571743492010593
4,3,4,8,7,7,8,8,8,7,5,8,11,12,13,0.1425925843151904
15,16,15,17,20,20,17,18,20,18,20,18,23,21,23,0.9475656030938018
14,14,16,18,17,19,19,17,17,19,17,18,22,23,22,0.828557927688433
14,14,16,18,20,18,17,18,17,18,17,20,22,21,23,0.5513478594029004
1,3,3,5,5,7,8,10,8,5,6,10,11,13,11,0.3070449260297434
16,16,14,17,19,17,20,18,17,20,18,19,23,21,23,0.8599658578847841
4,4,3,5,9,10,5,7,10,6,8,7,13,12,12,0.39011699547760603
3,1,4,5,9,5,5,8,9,10,5,8,11,12,12,0.0953250389230873
1,3,3,7,9,9,7,5,5,10,10,5,12,12,11,0.4887049998360318
2,4,1,6,6,9,8,7,8,8,10,8,13,11,12,0.4815467091953022
2,1,2,10,6,5,5,5,6,9,10,9,11,11,12,0.4355531248253819
4,2,3,8,6,7,5,6,6,10,5,7,11,11,11,0.2660624608531754
4,4,1,5,8,5,8,5,10,5,7,6,11,11,12,0.325877313915129
4,2,4,10,9,10,7,7,6,7,8,5,11,12,13,0.39642472858773226
1,4,2,5,6,5,10,8,8,6,9,9,13,13,12,0.21317004653908
2,4,3,7,7,8,10,6,7,6,5,5,13,11,11,0.3559471487627981
15,16,14,18,17,20,18,18,20,17,18,20,22,21,23,0.7601927293514983
4,4,2,9,7,10,6,7,8,5,6,10,11,11,13,0.22214310445866658
16,16,15,20,17,17,18,17,18,19,18,20,21,22,21,0.6771284523879192
3,4,2,8,9,7,9,6,8,6,8,9,12,12,11,0.37217748853605315
15,15,15,17,19,18,20,20,20,19,20,19,23,22,21,0.5068258712673962
14,15,16,18,19,18,19,18,20,20,20,18,23,22,23,0.6236307871760353
15,14,16,17,20,20,18,20,20,19,20,18,23,22,22,0.6382063339596081
4,2,1,8,5,7,5,10,10,9,5,10,11,11,11,0.04075151615604777
1,2,2,9,5,10,6,10,7,7,6,7,13,11,13,0.14470387651958394
16,16,15,17,20,18,20,18,19,20,18,18,23,23,21,0.7072437698788036
1,4,3,7,5,10,6,10,8,7,10,6,13,13,11,0.15825136122776673
4,1,4,9,9,5,7,8,5,10,6,9,11,12,11,0.4741745811075878
14,16,14,17,19,20,19,18,20,17,19,19,23,23,22,0.6091860503387094
